SAS_No,Parti No,Malzeme Kodu,Teslimat Miktarı
SAS-5581743944,2604100835,120552048,108
SAS-5581743944,2604100843,120552048,108
SAS-5581743944,2604100837,120552048,108
SAS-5581743944,2604100774,120560460,107
SAS-5581743944,2604100775,120560460,107
SAS-5581743944,2604100771,120552682,107
SAS-5581743944,2604100769,120552682,107
SAS-5581743944,2604100770,120552682,107
SAS-5581743944,2604091685,120210362,109
SAS-5581743944,2604091703,120551942,113
SAS-5581743944,2604091766,120551942,114
SAS-5581743944,2604100825,120550515,108
SAS-5581743944,2604100824,120550515,108
SAS-5581743944,2604100823,120550515,108
SAS-5581743944,2604072732,120565279,108
SAS-5581743944,2604100800,120560460,109
SAS-5581743944,2604100816,120560739,109
SAS-5581743944,2604100818,120560739,109
SAS-5581743944,2604100817,120560739,109
SAS-5581743944,2604100834,120552048,108
SAS-5581743944,2604100833,120552048,108
SAS-5581743944,2604100836,120552048,108
SAS-5581743944,2604100842,120552048,108
SAS-5581743944,2604091377,120554968,108
SAS-5581743944,2604091399,120554968,109
SAS-5581743944,2604091379,120554968,108
SAS-5581743944,2604102361,120201284,112
SAS-5581743944,2604102365,120201284,112
SAS-5581743944,2604102366,120201284,112
SAS-5581743944,2604102347,120210364,112
SAS-5581743944,2604102360,120201284,112
SAS-5581743944,2604102346,120210364,112
SAS-5581743944,2604102270,120201284,112
SAS-5581743944,2604102314,120226389,112
SAS-5581743944,2604102315,120226389,112
SAS-5581743944,2604102272,120201284,112
SAS-5581743944,2604102271,120201284,112
SAS-5581743944,2604102274,120201284,112
SAS-5581743944,2604102273,120201284,112
SAS-5581743944,2604102276,120201284,112
SAS-5581743944,2604102275,120201284,112
SAS-5581743944,2604102242,120201283,112
SAS-5581743944,2604102241,120201283,112
SAS-5581743944,2604102240,120201283,112
SAS-5581743944,2604102243,120201283,112
SAS-5581743944,2604140675,120565031,108
SAS-5581743944,2604140673,120565031,108
SAS-5581743944,2604131908,120244980,108
SAS-5581743944,2604141119,120543669,6
SAS-5581743944,2604141105,120562029,10
SAS-5581743944,2604141023,120562029,10
SAS-5581743944,2604141025,120543669,6
SAS-5581743944,2604141020,120562029,10
SAS-5581743944,2604141014,120562029,10
SAS-5581743944,2604141756,121020880,108
SAS-5581743944,2604141755,121020880,108
SAS-5581743944,2604141754,121020880,108
SAS-5581743944,2604141742,121020880,107
